#-----------------------------------------------------------
# xsim v2024.2 (64-bit)
# SW Build 5239630 on Fri Nov 08 22:35:27 MST 2024
# IP Build 5239520 on Sun Nov 10 16:12:51 MST 2024
# SharedData Build 5239561 on Fri Nov 08 14:39:27 MST 2024
# Start of session at: Wed Nov 12 22:59:08 2025
# Process ID         : 12428
# Current directory  : I:/testAPP/sim_work
# Command line       : xsim.exe -mode tcl -source {xsim.dir/tb_regtrace_sim/xsim_script.tcl}
# Log file           : I:/testAPP/sim_work/xsim.log
# Journal file       : I:/testAPP/sim_work\xsim.jou
# Running On         : DESKTOP-M79FMGV
# Platform           : Windows Server 2016 or Windows 10
# Operating System   : 19045
# Processor Detail   : Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz
# CPU Frequency      : 1800 MHz
# CPU Physical cores : 4
# CPU Logical cores  : 8
# Host memory        : 21344 MB
# Swap memory        : 5637 MB
# Total Virtual      : 26981 MB
# Available Virtual  : 11427 MB
#-----------------------------------------------------------
source xsim.dir/tb_regtrace_sim/xsim_script.tcl
# xsim {tb_regtrace_sim} -testplusarg LOGFILE=regtrace.txt -autoloadwcfg -runall
Time resolution is 1 ps
t=975000 PC=0000007c INSTR=004fdf93 pc_sel=0 alu_out=0057619f
t=985000 PC=00000080 INSTR=ffff8f93 pc_sel=0 alu_out=0057619e
t=995000 PC=00000084 INSTR=0100000f pc_sel=0 alu_out=00000000
t=1005000 PC=00000088 INSTR=0006cf83 pc_sel=0 alu_out=00000000
t=1015000 PC=0000008c INSTR=004f7413 pc_sel=0 alu_out=00000000
t=1025000 PC=00000090 INSTR=0ffe7f13 pc_sel=0 alu_out=00000001
t=1035000 PC=00000094 INSTR=02041663 pc_sel=0 alu_out=00000000
t=1045000 PC=00000098 INSTR=004fff93 pc_sel=0 alu_out=00000000
t=1055000 PC=0000009c INSTR=020f8263 pc_sel=1 alu_out=00000000
t=1065000 PC=00000000 INSTR=00050113 pc_sel=0 alu_out=00000000
t=1075000 PC=00000004 INSTR=00000097 pc_sel=0 alu_out=00000004
t=1085000 PC=00000008 INSTR=038080e7 pc_sel=1 alu_out=0000003c
t=1095000 PC=0000003c INSTR=08100293 pc_sel=0 alu_out=00000081
t=1105000 PC=00000040 INSTR=00051337 pc_sel=0 alu_out=00000000
t=1115000 PC=00000044 INSTR=61530313 pc_sel=0 alu_out=00051615
t=1125000 PC=00000048 INSTR=057623b7 pc_sel=0 alu_out=00000000
t=1135000 PC=0000004c INSTR=9f138393 pc_sel=0 alu_out=057619f1
t=1145000 PC=00000050 INSTR=00100e13 pc_sel=0 alu_out=00000001
t=1155000 PC=00000054 INSTR=00100e93 pc_sel=0 alu_out=00000001
t=1165000 PC=00000058 INSTR=00c0006f pc_sel=1 alu_out=00000064
t=1175000 PC=00000064 INSTR=01c60023 pc_sel=0 alu_out=00000000
t=1185000 PC=00000068 INSTR=0006cf03 pc_sel=0 alu_out=00000000
t=1195000 PC=0000006c INSTR=02ee8fb3 pc_sel=0 alu_out=00000001
t=1205000 PC=00000070 INSTR=00ff8fb3 pc_sel=0 alu_out=00000001
t=1215000 PC=00000074 INSTR=010fec63 pc_sel=0 alu_out=00000001
t=1225000 PC=00000078 INSTR=027fbfb3 pc_sel=0 alu_out=057619f2
t=1235000 PC=0000007c INSTR=004fdf93 pc_sel=0 alu_out=0057619f
t=1245000 PC=00000080 INSTR=ffff8f93 pc_sel=0 alu_out=0057619e
t=1255000 PC=00000084 INSTR=0100000f pc_sel=0 alu_out=00000000
t=1265000 PC=00000088 INSTR=0006cf83 pc_sel=0 alu_out=00000000
t=1275000 PC=0000008c INSTR=004f7413 pc_sel=0 alu_out=00000000
t=1285000 PC=00000090 INSTR=0ffe7f13 pc_sel=0 alu_out=00000001
t=1295000 PC=00000094 INSTR=02041663 pc_sel=0 alu_out=00000000
t=1305000 PC=00000098 INSTR=004fff93 pc_sel=0 alu_out=00000000
t=1315000 PC=0000009c INSTR=020f8263 pc_sel=1 alu_out=00000000
t=1325000 PC=00000000 INSTR=00050113 pc_sel=0 alu_out=00000000
t=1335000 PC=00000004 INSTR=00000097 pc_sel=0 alu_out=00000004
t=1345000 PC=00000008 INSTR=038080e7 pc_sel=1 alu_out=0000003c
t=1355000 PC=0000003c INSTR=08100293 pc_sel=0 alu_out=00000081
t=1365000 PC=00000040 INSTR=00051337 pc_sel=0 alu_out=00000000
t=1375000 PC=00000044 INSTR=61530313 pc_sel=0 alu_out=00051615
t=1385000 PC=00000048 INSTR=057623b7 pc_sel=0 alu_out=00000000
t=1395000 PC=0000004c INSTR=9f138393 pc_sel=0 alu_out=057619f1
t=1405000 PC=00000050 INSTR=00100e13 pc_sel=0 alu_out=00000001
t=1415000 PC=00000054 INSTR=00100e93 pc_sel=0 alu_out=00000001
t=1425000 PC=00000058 INSTR=00c0006f pc_sel=1 alu_out=00000064
t=1435000 PC=00000064 INSTR=01c60023 pc_sel=0 alu_out=00000000
t=1445000 PC=00000068 INSTR=0006cf03 pc_sel=0 alu_out=00000000
t=1455000 PC=0000006c INSTR=02ee8fb3 pc_sel=0 alu_out=00000001
t=1465000 PC=00000070 INSTR=00ff8fb3 pc_sel=0 alu_out=00000001
t=1475000 PC=00000074 INSTR=010fec63 pc_sel=0 alu_out=00000001
